,time (hours),Agg GPU alloc(%)
4994,416.1666666666667,89.0625
4995,416.25,89.0625
4996,416.3333333333333,89.0625
4997,416.4166666666667,89.0625
4998,416.5,89.0625
4999,416.5833333333333,89.84375
5000,416.6666666666667,89.84375
5001,416.75,89.84375
5002,416.8333333333333,89.84375
5003,416.9166666666667,89.84375
5004,417.0,88.28125
5005,417.0833333333333,89.0625
5006,417.1666666666667,88.28125
5007,417.25,89.84375
5008,417.3333333333333,89.84375
5009,417.4166666666667,89.84375
5010,417.5,89.84375
5011,417.5833333333333,91.40625
5012,417.6666666666667,91.40625
5013,417.75,92.1875
5014,417.8333333333333,92.1875
5015,417.9166666666667,92.1875
5016,418.0,92.1875
5017,418.0833333333333,92.1875
5018,418.1666666666667,92.1875
5019,418.25,92.1875
5020,418.3333333333333,92.1875
5021,418.4166666666667,92.1875
5022,418.5,91.40625
5023,418.5833333333333,91.40625
5024,418.6666666666667,91.40625
5025,418.75,91.40625
5026,418.8333333333333,91.40625
5027,418.9166666666667,91.40625
5028,419.0,91.40625
5029,419.0833333333333,91.40625
5030,419.1666666666667,91.40625
5031,419.25,91.40625
5032,419.3333333333333,91.40625
5033,419.4166666666667,90.625
5034,419.5,90.625
5035,419.5833333333333,90.625
5036,419.6666666666667,89.84375
5037,419.75,89.84375
5038,419.8333333333333,89.84375
5039,419.9166666666667,89.84375
5040,420.0,88.28125
5041,420.0833333333333,88.28125
5042,420.1666666666667,88.28125
5043,420.25,88.28125
5044,420.3333333333333,88.28125
5045,420.4166666666667,87.5
5046,420.5,86.71875
5047,420.5833333333333,87.5
5048,420.6666666666667,87.5
5049,420.75,87.5
5050,420.8333333333333,87.5
5051,420.9166666666667,88.28125
5052,421.0,88.28125
5053,421.0833333333333,88.28125
5054,421.1666666666667,87.5
5055,421.25,86.71875
5056,421.3333333333333,86.71875
5057,421.4166666666667,85.9375
5058,421.5,85.9375
5059,421.5833333333333,85.9375
5060,421.6666666666667,85.9375
5061,421.75,85.9375
5062,421.8333333333333,85.9375
5063,421.9166666666667,85.9375
5064,422.0,85.9375
5065,422.0833333333333,85.9375
5066,422.1666666666667,85.9375
5067,422.25,86.71875
5068,422.3333333333333,86.71875
5069,422.4166666666667,85.9375
5070,422.5,85.9375
5071,422.5833333333333,85.9375
5072,422.6666666666667,85.9375
5073,422.75,85.9375
5074,422.8333333333333,86.71875
5075,422.9166666666667,86.71875
5076,423.0,86.71875
5077,423.0833333333333,85.9375
5078,423.1666666666667,85.9375
5079,423.25,85.9375
5080,423.3333333333333,85.9375
5081,423.4166666666667,85.15625
5082,423.5,85.9375
5083,423.5833333333333,85.9375
5084,423.6666666666667,85.9375
5085,423.75,85.15625
5086,423.8333333333333,85.15625
5087,423.9166666666667,85.15625
5088,424.0,85.9375
5089,424.0833333333333,85.9375
5090,424.1666666666667,85.9375
5091,424.25,85.9375
5092,424.3333333333333,86.71875
5093,424.4166666666667,86.71875
5094,424.5,85.9375
5095,424.5833333333333,86.71875
5096,424.6666666666667,86.71875
5097,424.75,86.71875
5098,424.8333333333333,86.71875
5099,424.9166666666667,87.5
5100,425.0,87.5
5101,425.0833333333333,88.28125
5102,425.1666666666667,88.28125
5103,425.25,89.0625
5104,425.3333333333333,89.0625
5105,425.4166666666667,89.84375
5106,425.5,89.84375
5107,425.5833333333333,89.84375
5108,425.6666666666667,89.84375
5109,425.75,90.625
5110,425.8333333333333,90.625
5111,425.9166666666667,90.625
5112,426.0,89.84375
5113,426.0833333333333,89.84375
5114,426.1666666666667,89.0625
5115,426.25,88.28125
5116,426.3333333333333,88.28125
5117,426.4166666666667,87.5
5118,426.5,86.71875
5119,426.5833333333333,86.71875
5120,426.6666666666667,85.9375
5121,426.75,85.9375
5122,426.8333333333333,86.71875
5123,426.9166666666667,86.71875
5124,427.0,86.71875
5125,427.0833333333333,86.71875
5126,427.1666666666667,86.71875
5127,427.25,86.71875
5128,427.3333333333333,86.71875
5129,427.4166666666667,86.71875
5130,427.5,86.71875
5131,427.5833333333333,86.71875
5132,427.6666666666667,86.71875
5133,427.75,86.71875
5134,427.8333333333333,86.71875
5135,427.9166666666667,85.9375
5136,428.0,85.9375
5137,428.0833333333333,85.15625
5138,428.1666666666667,85.9375
5139,428.25,85.15625
5140,428.3333333333333,85.15625
5141,428.4166666666667,85.9375
5142,428.5,84.375
5143,428.5833333333333,85.15625
5144,428.6666666666667,85.15625
5145,428.75,85.9375
5146,428.8333333333333,86.71875
5147,428.9166666666667,86.71875
5148,429.0,86.71875
5149,429.0833333333333,85.9375
5150,429.1666666666667,87.5
5151,429.25,87.5
5152,429.3333333333333,87.5
5153,429.4166666666667,87.5
5154,429.5,87.5
5155,429.5833333333333,88.28125
5156,429.6666666666667,89.0625
5157,429.75,89.84375
5158,429.8333333333333,89.0625
5159,429.9166666666667,89.84375
5160,430.0,89.84375
5161,430.0833333333333,89.84375
5162,430.1666666666667,89.84375
